,Unnamed: 0,Area,Postcode,District,Lat,Long
16,16,Agia Marina Skyllouras,2670,Lefkosia,35.517201299999996,23.9254833
63,63,Agios Nikolaos Lefkas,2824,Lefkosia,35.1899597,25.716416600000002
64,64,Agios Nikolaos Pafou,8623,Pafos,35.1899597,25.716416600000002
65,65,Agios Nikolaos Stegis,2825,Lefkosia,35.1899597,25.716416600000002
246,246,Kalo Chorio Soleas,2833,Lefkosia,35.116001700000005,25.7240366
606,606,Pyrgos Touristiki Periochi,4534,Lemesos,36.383038,25.4478176
16,16,Agia Marina Skyllouras,2670,Lefkosia,35.517201299999996,23.9254833
62,62,Agios Nikolaos Ammochostou,5620,Ammochostos,35.1899597,25.716416600000002
63,63,Agios Nikolaos Lefkas,2824,Lefkosia,35.1899597,25.716416600000002
64,64,Agios Nikolaos Pafou,8623,Pafos,35.1899597,25.716416600000002
65,65,Agios Nikolaos Stegis,2825,Lefkosia,35.1899597,25.716416600000002
246,246,Kalo Chorio Soleas,2833,Lefkosia,35.116001700000005,25.7240366
606,606,Pyrgos Touristiki Periochi,4534,Lemesos,36.383038,25.4478176
