,Area,Postcode,District,Lat,Long
0,Avdellero,7501,Larnaka,35.0057923,33.5672045
1,Angastina,5652,Ammochostos,35.2008698,33.5839983
2,Anglikos Stratos Akrotiriou,3370,Lemesos,52.3555177,-1.1743197
3,Anglikos Stratos Dekeleias,6370,Larnaka,34.9002535,33.6231723
4,Anglikos Stratos Lefkosias,1370,Lefkosia,35.1855659,33.38227639999999
5,Anglisides,7571,Larnaka,34.8545047,33.4551696
6,Angolemi,2826,Lefkosia,35.1855659,33.38227639999999
7,Agia,2561,Lefkosia,35.1133417,33.5672045
8,Agia Anna,7641,Larnaka,34.9420898,33.4887939
9,Agia Varvara Lefkosias,2560,Lefkosia,34.9966053,33.3682521
10,Agia Varvara Pafou,8501,Pafos,37.9904219,23.6583002
11,Agia Eirini Keryneias,9610,Keryneia,0.0,0.0
12,Agia Eirini Lefkosias,2820,Lefkosia,0.0,0.0
13,Agia Thekla,5391,Ammochostos,34.9833117,33.9407265
14,Agia Marina Kelokedaron,8641,Pafos,34.8167334,32.6107881
15,Agia Marina Xyliatou,2772,Lefkosia,35.0492922,33.0535774
16,Agia Marina Skyllouras,2670,Lefkosia,35.5172013,23.9254833
17,Agia Marina Chrysochous,8881,Pafos,35.1166175,32.5231308
18,Agia Marinouda,8240,Pafos,34.765094,32.4778593
19,Agia Napa,5330,Ammochostos,34.9922836,34.0140113
20,Agia Trias,5870,Ammochostos,35.5331526,34.236602
21,Agio Georgoudi,2952,Lefkosia,35.1855659,33.38227639999999
22,Agioi Vavatsinias,7711,Larnaka,34.88021,33.1927773
23,Agioi Iliofotoi,2775,Lefkosia,35.1855659,33.38227639999999
24,Agioi Trimithias,2671,Lefkosia,35.1137248,33.2110414
25,Agios Amvrosios Keryneias,9560,Keryneia,34.7555488,32.8140914
26,Agios Amvrosios Lemesou,4710,Lemesos,34.7555488,32.8140914
27,Agios Andronikos Karpasias,5820,Ammochostos,0.0,0.0
28,Agios Andronikos Trikomou,5761,Ammochostos,35.3339151,33.8578735
29,Agios Vasileios,2672,Lefkosia,35.2120962,33.1857517
30,Agios Georgios Ammochostou,5720,Ammochostos,35.2587458,33.8801952
31,Agios Georgios Acheritou,5520,Ammochostos,39.75,19.683333
32,Agios Georgios Kafkallou,2773,Lefkosia,35.0370245,33.0124125
33,Agios Georgios Keryneias,9390,Keryneia,39.75,19.683333
34,Agios Georgios Lemesou,4740,Lemesos,34.7071301,33.0226174
35,Agios Georgios Pafou,8607,Pafos,39.75,19.683333
36,Agios Georgios Soleas,2822,Lefkosia,39.75,19.683333
37,Agios Dimitrianos,8741,Pafos,34.9061027,32.5492944
38,Agios Dimitrios,4842,Lemesos,34.9256034,32.8098601
39,Agios Epiktitos,9500,Keryneia,35.3153575,33.4047109
40,Agios Epifanios Oreinis,2610,Lefkosia,34.9959193,33.1196867
41,Agios Epifanios Soleas,2821,Lefkosia,34.9959193,33.1196867
42,Agios Ermolaos,9611,Keryneia,35.2644875,33.1745097
43,Agios Efstathios,5721,Ammochostos,35.386124,34.0223683
44,Agios Ilias,5722,Ammochostos,35.3286036,33.9359756
45,Agios Theodoros Ammochostou,5723,Ammochostos,35.3519049,34.0307246
46,Agios Theodoros Larnakas,7730,Larnaka,34.7867071,33.4047109
47,Agios Theodoros Lemesou,4870,Lemesos,34.7867071,33.4047109
48,Agios Theodoros Soleas,2823,Lefkosia,35.0421161,32.9282708
49,Agios Theodoros Tillirias,2951,Lefkosia,35.1751619,32.6432873
50,Agios Therapon,4711,Lemesos,34.7975867,32.8401808
51,Agios Therissos,5871,Ammochostos,35.1149116,33.919245
52,Agios Thomas,4606,Lemesos,34.713598,32.732254
53,Agios Iakovos,5762,Ammochostos,35.3153248,33.824381
54,Agios Isidoros,8872,Pafos,35.0058356,32.4714915
55,Agios Ioannis Lemesou,4871,Lemesos,0.0,0.0
56,Agios Ioannis Malountas,2611,Lefkosia,35.0643618,33.1843465
57,Agios Ioannis Pafou,8621,Pafos,34.8677736,32.6913107
58,Agios Ioannis Selemani,2965,Lefkosia,35.0643618,33.1843465
59,Agios Konstantinos,4561,Lemesos,34.8669453,33.06553660000001
60,Agios Mamas,4741,Lemesos,0.0,0.0
61,Agios Merkourios,8801,Pafos,35.0305431,32.5447832
62,Agios Nikolaos Ammochostou,5620,Ammochostos,35.1899597,25.7164166
63,Agios Nikolaos Lefkas,2824,Lefkosia,35.1899597,25.7164166
64,Agios Nikolaos Pafou,8623,Pafos,35.1899597,25.7164166
65,Agios Nikolaos Stegis,2825,Lefkosia,35.1899597,25.7164166
66,Agios Pavlos,4562,Lemesos,34.8631226,33.0458383
67,Agios Sergios,5621,Ammochostos,35.1968015,33.8913539
68,Agios Symeon,5821,Ammochostos,35.4847601,34.236602
69,Agios Sozomenos,2562,Lefkosia,35.0637136,33.4439588
70,Agios Tychon,4521,Lemesos,34.7188616,33.12952900000001
71,Agios Tychon Touristiki Periochi,4532,Lemesos,34.7188616,33.12952900000001
72,Agios Filon,5872,Ammochostos,35.1149116,33.919245
73,Agios Chariton,5651,Ammochostos,35.2980352,33.6007892
74,Agirda,9541,Keryneia,0.0,0.0
75,Agridaki,9612,Keryneia,35.2974502,33.1548332
76,Agridia,4872,Lemesos,34.7071301,33.0226174
77,Agrokipia,2617,Lefkosia,35.0435804,33.1562388
78,Agroladou,2837,Lefkosia,0.0,0.0
79,Agros,4860,Lemesos,34.7071301,33.0226174
80,Athienou,7600,Larnaka,35.0618757,33.5401788
81,Athrakos,4567,Lemesos,34.7071301,33.0226174
82,Aigialousa,5800,Ammochostos,0.0,0.0
83,Akaki,2720,Lefkosia,35.1379343,33.1323409
84,Akanthou,5750,Ammochostos,35.3785077,33.7629465
85,Akapnou,4501,Lemesos,34.8397739,33.1864543
86,Akoursos,8572,Pafos,34.8841145,32.4184108
87,Akrounta,4522,Lemesos,34.7719821,33.0845277
88,Akrotiri,4640,Lemesos,34.6024699,32.9775675
89,Akti Kyverniti,4528,Lemesos,34.7071301,33.0226174
90,Alaminos,7572,Larnaka,34.8089242,33.4439588
91,Alampra,2563,Lefkosia,34.9902941,33.4005049
92,Alassa,4712,Lemesos,34.7071301,33.0226174
93,Alethriko,7570,Larnaka,34.8636899,33.4887939
94,Alektora,4602,Lemesos,34.7071301,33.0226174
95,Alevga,2953,Lefkosia,35.1855659,33.38227639999999
96,Alithinou,2750,Lefkosia,35.1855659,33.38227639999999
97,Aloda,5623,Ammochostos,35.2128887,33.8327552
98,Alona,2751,Lefkosia,34.9349283,33.0380986
99,Amargeti,8642,Pafos,34.8136388,32.588174
100,Ammadies,2954,Lefkosia,35.1855659,33.38227639999999
101,Ampelikou,2920,Lefkosia,35.1855659,33.38227639999999
102,Anageia,2640,Lefkosia,35.0771107,33.2503679
103,Anadiou,8802,Pafos,34.7720133,32.4297369
104,Analiontas,2641,Lefkosia,0.0,0.0
105,Anarita,8502,Pafos,34.7481411,32.5429309
106,Anafotida,7573,Larnaka,34.8117931,33.466379
107,Androlikou,8701,Pafos,34.9979465,32.380176
108,Anogyra,4603,Lemesos,34.7366636,32.7294309
109,Axylou,8521,Pafos,0.0,0.0
110,Apesia,4541,Lemesos,34.7889923,32.9761593
111,Aplanta,7574,Larnaka,34.8295231,33.48038890000001
112,Apliki,2613,Lefkosia,34.9304944,33.1168744
113,Arakapas,4563,Lemesos,34.8449552,33.113359
114,Argaka,8873,Pafos,35.0627702,32.4891791
115,Argaki,2721,Lefkosia,35.1855659,33.38227639999999
116,Ardana,5763,Ammochostos,35.3555716,33.8969328
117,Arediou,2614,Lefkosia,35.0503064,33.1941823
118,Armenomonastiro,9570,Keryneia,35.3322825,33.3195479
119,Armenochori,4523,Lemesos,34.7517145,33.126717
120,Arminou,8625,Pafos,34.8617339,32.7195492
121,Armou,8522,Pafos,34.7720133,32.4297369
122,Arnadi,5724,Ammochostos,35.2366033,33.8578735
123,Arsos Larnakas,7620,Larnaka,34.9243154,33.636336
124,Arsos Lemesou,4770,Lemesos,34.8414811,32.7703589
125,Artemi,5622,Ammochostos,35.31784409999999,33.7238308
126,Asgata,4502,Lemesos,34.7761716,33.2475594
127,Asinou,2778,Lefkosia,35.1650512,33.3857936
128,Askas,2752,Lefkosia,35.1855659,33.38227639999999
129,Asprogia,8643,Pafos,34.9227386,32.6171475
130,Asseia (Askeia),5561,Ammochostos,35.1149116,33.919245
131,Astromeritis,2722,Lefkosia,35.1394443,33.0395058
132,Asomatos Keryneias,9613,Keryneia,35.2628117,33.0845277
133,Asomatos Lemesou,4645,Lemesos,34.6288485,32.9719348
134,Avgolida,5725,Ammochostos,35.3522187,33.9610657
135,Avgorou,5510,Ammochostos,35.0385384,33.8522923
136,Avdimou,4600,Lemesos,34.6837313,32.7576589
137,Avlona,2673,Lefkosia,35.1693415,33.1098434
138,Afanteia - Ornithi,5560,Ammochostos,35.1489203,33.5784007
139,Acheleia,8503,Pafos,34.7288519,32.4750292
140,Acheritou,5521,Ammochostos,35.0970715,33.8522923
141,Achna,5500,Ammochostos,35.0565168,33.7797054
142,Apsiou,4542,Lemesos,34.7974399,33.0212099
143,Vavatsinia,7712,Larnaka,34.8910913,33.2293021
144,Vavla,7713,Larnaka,34.8413406,33.2693233
145,Vavylas,9630,Keryneia,41.0693256,-73.4941886
146,Variseia,2921,Lefkosia,0.0,0.0
147,Vasa Kellakiou,4504,Lemesos,34.8028938,33.21455330000001
148,Vasa Koilaniou,4771,Lemesos,34.8330525,32.7901114
149,Vasileia,9631,Keryneia,35.3439517,33.1070309
150,Vasili,5823,Ammochostos,35.4516433,34.1587576
151,Vasiliko,7738,Larnaka,34.9002535,33.6231723
152,Vatili,5562,Ammochostos,35.1149116,33.919245
153,Vikla,4509,Lemesos,34.7071301,33.0226174
154,Vitsada,5653,Ammochostos,35.1149116,33.919245
155,Vothylakas,5822,Ammochostos,35.4700019,34.1921277
156,Vokolida,5726,Ammochostos,35.3734501,34.0697103
157,Voroklini,7040,Larnaka,34.9876126,33.6567371
158,Voroklini Touristiki Periochi,7041,Larnaka,34.9876126,33.6567371
159,Vouni,4772,Lemesos,34.8239352,32.8345404
160,Vouno,9542,Keryneia,35.2569465,33.3962986
161,Vretsia,8644,Pafos,34.8902986,32.6574142
162,Vrysoules,5522,Ammochostos,35.0719751,33.8815901
163,Vyzakia,2774,Lefkosia,35.0793143,33.0155797
164,Voni,2520,Lefkosia,35.1855659,33.38227639999999
165,Gaidouras (Nea Sparti),5624,Ammochostos,35.1470463,33.8020459
166,Galata,2827,Lefkosia,35.1855659,33.38227639999999
167,Galataria,8645,Pafos,34.8765789,32.63127790000001
168,Galateia,5825,Ammochostos,35.415337,34.0752783
169,Galini,2922,Lefkosia,35.1398949,32.7802357
170,Galinoporni,5874,Ammochostos,0.0,0.0
171,Gastria,5727,Ammochostos,35.1149116,33.919245
172,Genagra,5655,Ammochostos,35.2114584,33.69029
173,Gerakies,2861,Lefkosia,35.0003013,32.8049233
174,Gerani,5764,Ammochostos,35.3515836,33.9248222
175,Gerasa,4543,Lemesos,34.8026925,32.9958715
176,Gerovasa,4773,Lemesos,34.7071301,33.0226174
177,Gerolakkos,2674,Lefkosia,35.1800998,33.251766
178,Giolou,8720,Pafos,34.9231899,32.4736141
179,Goudi,8850,Pafos,34.9912915,32.4417696
180,Gourri,2615,Lefkosia,34.9552587,33.1562388
181,Goufes,5625,Ammochostos,35.1149116,33.919245
182,Gypsou,5626,Ammochostos,0.0,0.0
183,Dali,2540,Lefkosia,35.0612128,33.4047109
184,Dali (Ilioupoli),2546,Lefkosia,37.9298588,23.7692328
185,Dali (Kallithea),2548,Lefkosia,37.955893,23.7020975
186,Dali (Konstantia),2547,Lefkosia,35.0612128,33.4047109
187,Dali (Nea Lidra),2549,Lefkosia,35.1744595,33.361415
188,Dasaki Achnas,5523,Ammochostos,35.0334773,33.7908763
189,Dasiko Kolegio Kyprou,4841,Lemesos,34.679147,33.0253197
190,Dasikos Stathmos Agias,8803,Pafos,34.7573412,32.4474212
191,Dasikos Stathmos Kapouras,2828,Lefkosia,35.0164922,33.0831653
192,Dasikos Stathmos Panagias,2782,Lefkosia,35.0164922,33.0831653
193,Dasikos Stathmos Platanion,2829,Lefkosia,34.94832160000001,32.9274698
194,Dasikos Stathmos Stavrou tis Psokas,8804,Pafos,34.9164594,32.4920088
195,Davlos,5765,Ammochostos,35.4134201,33.9136675
196,Dekeleia,7502,Larnaka,34.9002535,33.6231723
197,Delikipos,7642,Larnaka,34.9166725,33.3612392
198,Deneia,2675,Lefkosia,0.0,0.0
199,Deryneia,5380,Ammochostos,35.0586943,33.9582783
200,Dierona,4564,Lemesos,34.7071301,33.0226174
201,Diorios,9614,Keryneia,0.0,0.0
202,Drapeia,7722,Larnaka,34.9002535,33.6231723
203,Dromolaxia,7020,Larnaka,34.8813447,33.5895956
204,Drouseia,8700,Pafos,34.9632721,32.397171
205,Drymou,8742,Pafos,34.9251189,32.513583
206,Dymes,4873,Lemesos,34.9171341,32.9838865
207,Dyo Potamoi,2676,Lefkosia,35.1855659,33.38227639999999
208,Dora,4774,Lemesos,34.7071301,33.0226174
209,Doros,4750,Lemesos,34.8156562,32.910659
210,Egkomi Ammochostou,5627,Ammochostos,35.1613671,33.8801952
211,Eledio,8523,Pafos,34.8187911,32.5627272
212,Elia Keryneias,9632,Keryneia,35.3442807,33.2208745
213,Elia Lefkosias,2830,Lefkosia,35.1380434,32.9155906
214,Elliniki Dynamis Kyprou (EL.DY.K.),1380,Lefkosia,0.0,0.0
215,Empa,8250,Pafos,34.8066794,32.4212424
216,Eχο Metochi,2521,Lefkosia,35.2019719,33.5336078
217,Episkopeio,2642,Lefkosia,35.0428834,33.2461551
218,Episkopi Lemesou,4620,Lemesos,34.6758953,32.8817689
219,Episkopi Pafou,8524,Pafos,34.6758953,32.8817689
220,Epicho,2522,Lefkosia,35.1855659,33.38227639999999
221,Eptagoneia,4506,Lemesos,34.846331,33.1590499
222,Eptakomi,5824,Ammochostos,35.4489622,34.0307246
223,Ergates,2643,Lefkosia,35.057659,33.2419422
224,Erimi,4630,Lemesos,34.6919356,32.9184086
225,Evretou,8805,Pafos,34.9605214,32.4838731
226,Evrychou,2831,Lefkosia,35.0416645,32.9014996
227,Zanakia,4713,Lemesos,34.7326675,32.8775404
228,Zacharia,8806,Pafos,34.9818878,32.5309099
229,Zygi,7739,Larnaka,34.7322033,33.3345856
230,Zoopigi,4565,Lemesos,34.8631273,33.0155797
231,Theletra,8723,Pafos,34.9134868,32.4523855
232,Thermeia,9510,Keryneia,49.833658,-97.13964999999999
233,Thrinia,8743,Pafos,34.7720133,32.4297369
234,Ineia,8704,Pafos,34.7720133,32.4297369
235,Kazafani,9511,Keryneia,35.3261677,33.3542258
236,Kazivera,2923,Lefkosia,35.1855659,33.38227639999999
237,Kathikas,8573,Pafos,34.9137456,32.4184108
238,Kakopetria,2800,Lefkosia,34.987599,32.9014996
239,Kalavasos,7733,Larnaka,34.7623627,33.2924859
240,Kaliana,2832,Lefkosia,35.1855659,33.38227639999999
241,Kallepeia,8541,Pafos,34.8373332,32.5089856
242,Kalo Chorio (Kapouti),2726,Lefkosia,35.2377309,33.0226174
243,Kalo Chorio Larnakas,7643,Larnaka,34.9215196,33.5392081
244,Kalo Chorio Lemesou,4566,Lemesos,34.8515153,33.0254323
245,Kalo Chorio Oreinis,2616,Lefkosia,35.0116284,33.1604555
246,Kalo Chorio Soleas,2833,Lefkosia,35.1160017,25.7240366
247,Kalograia,9571,Keryneia,35.3428587,33.6287673
248,Kalopanagiotis,2862,Lefkosia,34.994293,32.8267844
249,Kalopsida,5563,Ammochostos,35.1111537,33.8076302
250,Kalyvakia,2523,Lefkosia,35.1855659,33.38227639999999
251,Kaminaria,4843,Lemesos,34.9279581,32.7837628
252,Kampi,2619,Lefkosia,35.1855659,33.38227639999999
253,Kampia,2644,Lefkosia,35.0075592,33.2573889
254,Kampos,2863,Lefkosia,35.0396909,32.7336656
255,Kampyli,9615,Keryneia,35.3032467,33.1042183
256,Kanli,2677,Lefkosia,35.2171783,33.2644093
257,Kannavia,2834,Lefkosia,35.1855659,33.38227639999999
258,Kannaviou,8746,Pafos,34.91616399999999,32.57333080000001
259,Kantara,5766,Ammochostos,35.3871012,33.8990248
260,Kantou,4631,Lemesos,34.6986696,32.904318
261,Kapedes,2645,Lefkosia,34.9774161,33.2517722
262,Kapileio,4544,Lemesos,34.7071301,33.0226174
263,Karavas,9200,Keryneia,35.3420796,33.2082318
264,Karavostasi,2924,Lefkosia,35.142762,32.8112705
265,Karakoumi,9512,Keryneia,0.0,0.0
266,Karamoullides,8851,Pafos,0.0,0.0
267,Karmi,9513,Keryneia,35.3149411,33.2644093
268,Karpaseia,9616,Keryneia,35.2858449,33.0732741
269,Kataliontas,2646,Lefkosia,35.1855659,33.38227639999999
270,Katydata,2835,Lefkosia,35.081168,32.886702
271,Kato Akourdaleia,8721,Pafos,34.9529875,32.4502624
272,Kato Amiantos,4810,Lemesos,34.9166475,32.9367234
