,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Angastina,35.2008698,33.5839983,Yusuf Tosun &Sons Ltd,35.201153,33.57958,Auto Garage
1,Angastina,35.2008698,33.5839983,Aslanköy Cafe De Bar,35.203612595196006,33.588156151055585,Dive Bar
2,Angastina,35.2008698,33.5839983,Paulownia,35.20398876321237,33.58775628218097,Botanical Garden
3,Anglikos Stratos Akrotiriou,52.3555177,-1.1743197,zoop,52.35662078857422,-1.1741479635238647,Afghan Restaurant
4,Anglikos Stratos Akrotiriou,52.3555177,-1.1743197,Cartmell Shepherd Solicitors Brampton,52.3555177,-1.1743197,Lawyer
5,Anglikos Stratos Akrotiriou,52.3555177,-1.1743197,Shuffle CANTERBURY,52.355324,-1.1730547,Tunnel
6,Anglikos Stratos Akrotiriou,52.3555177,-1.1743197,Old,52.35551834106445,-1.1743197441101074,Soccer Field
7,Anglikos Stratos Dekeleias,34.9002535,33.6231723,Stop Drinking Expert,34.9021051859886,33.62589955329895,Beer Store
8,Anglikos Stratos Lefkosias,35.1855659,33.38227639999999,O Πλάτανος,35.185252,33.379911,Kafenio
9,Anglikos Stratos Lefkosias,35.1855659,33.38227639999999,Cafe Bizz,35.185560697747086,33.382282772147256,Café
10,Anglikos Stratos Lefkosias,35.1855659,33.38227639999999,Σουβλάκι της Αυλής,35.18574,33.37901,Souvlaki Shop
11,Anglikos Stratos Lefkosias,35.1855659,33.38227639999999,Faros (Κέντρο Δεξιώσεων),35.18328184464154,33.37916766369356,Diner
12,Anglikos Stratos Lefkosias,35.1855659,33.38227639999999,Kalamies Tavern,35.18383026123047,33.378353118896484,Greek Restaurant
13,Anglisides,34.8545047,33.4551696,Laikn Taverna,34.853278,33.455104,Taverna
14,Anglisides,34.8545047,33.4551696,Moak Cafe,34.852547,33.45469,Café
15,Angolemi,35.1855659,33.38227639999999,O Πλάτανος,35.185252,33.379911,Kafenio
16,Angolemi,35.1855659,33.38227639999999,Cafe Bizz,35.185560697747086,33.382282772147256,Café
17,Angolemi,35.1855659,33.38227639999999,Σουβλάκι της Αυλής,35.18574,33.37901,Souvlaki Shop
18,Angolemi,35.1855659,33.38227639999999,Faros (Κέντρο Δεξιώσεων),35.18328184464154,33.37916766369356,Diner
19,Angolemi,35.1855659,33.38227639999999,Kalamies Tavern,35.18383026123047,33.378353118896484,Greek Restaurant
20,Agia,35.1133417,33.567204499999995,Dilekkaya Halı Saha,35.11120814991218,33.56438476877829,Soccer Field
21,Agia,35.1133417,33.567204499999995,Tekbaş Erkek Kuaförü,35.109960251052335,33.56643451821063,Health & Beauty Service
22,Agia,35.1133417,33.567204499999995,Boraci Merket,35.110138,33.565403,Convenience Store
23,Agia,35.1133417,33.567204499999995,Dilekkaya Köy Kahvesi,35.1101350177069,33.56514808117357,Coffee Shop
24,Agia Varvara Lefkosias,34.9966053,33.3682521,Πρωτοβιομηχανικό Εργαστήρι (Μύλος του μάστρε Γληόρη),34.995647,33.368748,Historic Site
25,Agia Varvara Lefkosias,34.9966053,33.3682521,Καράφα και Μεζές,34.99805,33.370082,Taverna
26,Agia Varvara Lefkosias,34.9966053,33.3682521,Casa Della Pizza,34.992718,33.366743,Italian Restaurant
27,Agia Varvara Pafou,37.9904219,23.6583002,Το Δράμι,37.987733255002354,23.65945181576362,Greek Restaurant
28,Agia Varvara Pafou,37.9904219,23.6583002,Dome Cafe Bar,37.988307675127615,23.658177852630615,Café
29,Agia Varvara Pafou,37.9904219,23.6583002,Το Τζάντε,37.987095264665996,23.658542955002783,Café
30,Agia Varvara Pafou,37.9904219,23.6583002,Αλεξανδρινό Κεμπάπ,37.988466107741324,23.660776355424748,Kebab Restaurant
31,Agia Varvara Pafou,37.9904219,23.6583002,Coffee Island,37.98751866062825,23.658761600992836,Coffee Shop
32,Agia Varvara Pafou,37.9904219,23.6583002,Ο Νίκος,37.98894218856281,23.66218060007773,Fish Taverna
33,Agia Varvara Pafou,37.9904219,23.6583002,Σκλαβενίτης,37.988148335046844,23.653487842207987,Supermarket
34,Agia Varvara Pafou,37.9904219,23.6583002,Eye-Shop Optical Store,37.98756343832042,23.655495443362263,Optical Shop
35,Agia Varvara Pafou,37.9904219,23.6583002,Μουσική Γωνιά,37.9869242820052,23.655907642377446,Taverna
